year	prov	sex	ageGrp	pop
2551 	65 	2 	55 	37737
2551 	65 	2 	65 	39466
2551 	67 	1 	0 	31518
2551 	67 	1 	5 	32437
2551 	67 	1 	10 	37545
2551 	67 	1 	15 	76286
2551 	67 	1 	25 	89275
2551 	67 	1 	35 	86048
2551 	67 	1 	45 	69104
2551 	67 	1 	55 	39290
2551 	67 	1 	65 	34910
2551 	67 	2 	0 	29684
2551 	67 	2 	5 	30666
2551 	67 	2 	10 	35753
2551 	67 	2 	15 	72212
2551 	67 	2 	25 	85381
2551 	67 	2 	35 	87843
2551 	67 	2 	45 	72482
2551 	67 	2 	55 	42542
2551 	67 	2 	65 	43906
2552 	53 	1 	0 	12833
2552 	53 	1 	5 	13830
2552 	53 	1 	10 	16452
2552 	53 	1 	15 	31873
2552 	53 	1 	25 	36379
2552 	53 	1 	35 	40041
2552 	53 	1 	45 	35825
2552 	53 	1 	55 	21930
2552 	53 	1 	65 	19650
2552 	53 	2 	0 	11844
2552 	53 	2 	5 	12898
2552 	53 	2 	10 	15391
2552 	53 	2 	15 	30186
2552 	53 	2 	25 	35729
2552 	53 	2 	35 	41230
2552 	53 	2 	45 	38243
2552 	53 	2 	55 	23908
2552 	53 	2 	65 	25337
2552 	63 	1 	0 	23378
2552 	63 	1 	5 	23892
2552 	63 	1 	10 	24345
2552 	63 	1 	15 	44237
2552 	63 	1 	25 	43177
2552 	63 	1 	35 	41009
2552 	63 	1 	45 	33468
2552 	63 	1 	55 	19506
2552 	63 	1 	65 	16038
2552 	63 	2 	0 	21661
2552 	63 	2 	5 	22394
2552 	63 	2 	10 	22483
2552 	63 	2 	15 	40901
2552 	63 	2 	25 	40368
2552 	63 	2 	35 	40036
2552 	63 	2 	45 	33198
2552 	63 	2 	55 	19989
2552 	63 	2 	65 	18917
2552 	64 	1 	0 	17370
2552 	64 	1 	5 	17558
2552 	64 	1 	10 	21534
2552 	64 	1 	15 	41243
2552 	64 	1 	25 	48570
2552 	64 	1 	35 	52536
2552 	64 	1 	45 	46339
2552 	64 	1 	55 	26645
2552 	64 	1 	65 	22672
2552 	64 	2 	0 	15928
2552 	64 	2 	5 	16123
2552 	64 	2 	10 	19978
2552 	64 	2 	15 	39714
2552 	64 	2 	25 	47792
2552 	64 	2 	35 	55170
2552 	64 	2 	45 	50477
2552 	64 	2 	55 	31187
2552 	64 	2 	65 	32480
2552 	65 	1 	0 	24843
2552 	65 	1 	5 	24976
2552 	65 	1 	10 	30262
2552 	65 	1 	15 	65651
2552 	65 	1 	25 	69295
2552 	65 	1 	35 	71660
2552 	65 	1 	45 	62521
2552 	65 	1 	55 	35653
2552 	65 	1 	65 	30489
2552 	65 	2 	0 	23311
2552 	65 	2 	5 	23888
2552 	65 	2 	10 	28608
2552 	65 	2 	15 	64004
2552 	65 	2 	25 	67962
2552 	65 	2 	35 	75339
2552 	65 	2 	45 	66429
2552 	65 	2 	55 	39880
2552 	65 	2 	65 	40008
2552 	67 	1 	0 	31165
2552 	67 	1 	5 	31828
2552 	67 	1 	10 	36867
2552 	67 	1 	15 	75152
2552 	67 	1 	25 	87753
2552 	67 	1 	35 	85630
2552 	67 	1 	45 	70784
2552 	67 	1 	55 	41034
2552 	67 	1 	65 	35404
2552 	67 	2 	0 	29275
2552 	67 	2 	5 	30064
2552 	67 	2 	10 	35221
2552 	67 	2 	15 	70758
2552 	67 	2 	25 	84005
2552 	67 	2 	35 	86951
2552 	67 	2 	45 	74651
2552 	67 	2 	55 	44468
2552 	67 	2 	65 	44669
2553 	53 	1 	0 	12507
2553 	53 	1 	5 	13582
2553 	53 	1 	10 	16089
2553 	53 	1 	15 	31721
2553 	53 	1 	25 	35326
2553 	53 	1 	35 	39494
2553 	53 	1 	45 	36455
2553 	53 	1 	55 	23085
2553 	53 	1 	65 	20043
2553 	53 	2 	0 	11435
2553 	53 	2 	5 	12673
2553 	53 	2 	10 	15108
2553 	53 	2 	15 	29938
2553 	53 	2 	25 	34548
2553 	53 	2 	35 	40622
2553 	53 	2 	45 	39084
2553 	53 	2 	55 	25288
2553 	53 	2 	65 	25787
2553 	63 	1 	0 	22714
2553 	63 	1 	5 	23282
2553 	63 	1 	10 	23741
2553 	63 	1 	15 	43940
2553 	63 	1 	25 	41786
2553 	63 	1 	35 	39838
2553 	63 	1 	45 	33601
2553 	63 	1 	55 	20008
2553 	63 	1 	65 	16148
2553 	63 	2 	0 	21041
2553 	63 	2 	5 	22132
2553 	63 	2 	10 	21995
2553 	63 	2 	15 	40672
2553 	63 	2 	25 	39312
2553 	63 	2 	35 	39023
2553 	63 	2 	45 	33717
2553 	63 	2 	55 	20670
2553 	63 	2 	65 	19053
2553 	64 	1 	0 	17139
2553 	64 	1 	5 	17473
2553 	64 	1 	10 	20797
2553 	64 	1 	15 	41073
2553 	64 	1 	25 	47272
2553 	64 	1 	35 	51750
2553 	64 	1 	45 	47610
2553 	64 	1 	55 	28059
2553 	64 	1 	65 	22930
2553 	64 	2 	0 	15771
2553 	64 	2 	5 	16013
2553 	64 	2 	10 	19214
2553 	64 	2 	15 	39212
2553 	64 	2 	25 	46384
2553 	64 	2 	35 	53825
2553 	64 	2 	45 	52038
2553 	64 	2 	55 	32972
2553 	64 	2 	65 	32764
2553 	65 	1 	0 	24400
2553 	65 	1 	5 	24978
2553 	65 	1 	10 	29254
2553 	65 	1 	15 	65759
2553 	65 	1 	25 	68267
2553 	65 	1 	35 	70619
2553 	65 	1 	45 	64291
2553 	65 	1 	55 	37793
2553 	65 	1 	65 	31082
2553 	65 	2 	0 	23063
2553 	65 	2 	5 	23628
2553 	65 	2 	10 	27669
2553 	65 	2 	15 	64364
2553 	65 	2 	25 	66641
2553 	65 	2 	35 	73851
2553 	65 	2 	45 	68779
2553 	65 	2 	55 	42366
2553 	65 	2 	65 	40823
2553 	67 	1 	0 	30686
2553 	67 	1 	5 	31373
2553 	67 	1 	10 	35955
2553 	67 	1 	15 	74494
2553 	67 	1 	25 	85958
2553 	67 	1 	35 	85151
2553 	67 	1 	45 	72430
2553 	67 	1 	55 	43200
2553 	67 	1 	65 	36210
2553 	67 	2 	0 	28732
2553 	67 	2 	5 	29723
2553 	67 	2 	10 	34278
2553 	67 	2 	15 	69675
2553 	67 	2 	25 	82367
2553 	67 	2 	35 	85914
2553 	67 	2 	45 	76740
