plotid	x	y	distname	distcode
428	665326.05	1597245.41	Khwuan Muang	140712
429	663811.65	1596911.40	Ban Li	140713
430	666633.91	1594889.40	Pho Sam Ton	140714
431	664175.21	1593977.40	Phut Lao	140715
432	667672.25	1606798.42	Tan En	140716
433	670468.29	1607153.42	Ban Khlo	140717
434	647844.69	1598638.90	Phak Hai	140801
435	647119.43	1600525.39	Ammarit	140802
436	651733.59	1602571.40	Ban Khae	140803
437	650064.96	1601170.92	Lat Nam Khem	140804
438	648620.79	1597259.89	Talan	140805
439	648168.63	1593954.89	Tha Din Daeng	140806
440	637014.73	1595802.89	Don Lan	140807
441	636801.92	1599854.91	Na Khu	140808
442	651211.67	1596189.39	Kudi	140809
443	640988.98	1594686.39	Lam Ta Khian	140810
444	649161.58	1602823.91	Khok Chang	140811
445	642565.38	1597469.39	Chakkarat	140812
446	641766.66	1600438.91	Nong Nam Yai	140813
447	644798.53	1595350.90	Lat Chit	140814
448	645984.63	1601922.90	Na Khok	140815
449	648127.79	1595489.89	Ban Yai	140816
450	685016.91	1597171.93	Phachi	140901
451	686887.28	1594370.41	Khok Muang	140902
452	690610.88	1591183.90	Rasom	140903
453	688367.08	1598937.92	Nong Nam Sai	140904
454	687182.57	1601340.92	Don Ya Nang	140905
455	683830.27	1599875.41	Phai Lom	140906
456	681215.16	1594697.41	Krachiu	140907
457	680222.62	1596305.42	Phra Kaeo	140908
458	642302.91	1569018.33	Lat Bua Luang	141001
459	635759.24	1569309.33	Lakchai	141002
460	641597.26	1563812.34	Sam Muang	141003
461	649985.81	1566017.83	Phraya Banlu	141004
462	652661.16	1563865.35	Singhanat	141005
463	649852.15	1569906.86	Khu Salot	141006
464	648026.41	1563095.35	Klong Phrabat Bamrung	141007
465	683588.17	1578008.39	Lam Ta Sao	141101
466	681074.04	1575304.88	Bo Ta Lo	141102
467	682859.44	1570681.88	Wang Noi	141103
468	679812.78	1571746.38	Lam Sai	141104
469	693762.04	1580998.40	Sanap Thup	141105
470	677608.69	1567086.36	Phayom	141106
471	689367.33	1580518.38	Han Taphao	141107
472	689526.39	1573604.88	Wang Chula	141108
473	694335.05	1576126.38	Khao Ngam	141109
474	689370.39	1577360.40	Cha Maep	141110
475	651411.25	1584104.38	Sena	141201
476	652655.39	1586063.88	Ban Paen	141202
477	648676.48	1583035.37	Chao Chet	141203
478	650690.10	1582496.88	Sam Ko	141204
479	653263.25	1580856.37	Bang Nom Kho	141205
480	650849.23	1589724.89	Hua Wieng	141206
481	648446.10	1576484.85	Man Wichai	141207
482	650155.24	1586519.37	Ban Pho	141208
483	647245.33	1586096.37	Bang Chorakhe	141209
484	650370.05	1591613.37	Ban Krathum	141210
485	645276.14	1581424.37	Ban Thaeo	141211
486	646271.04	1577160.36	Chai Na	141212
487	651581.65	1575392.35	Sam Tum	141213
488	646323.28	1590067.40	Lat Nga	141214
489	640516.49	1575431.86	Don Thong	141215
490	651606.20	1579405.87	Ban Luang	141216
491	647153.94	1584755.37	Chao Sadet	141217
492	638280.38	1583468.88	Bang Sai	141301
493	642985.54	1582562.87	Kaeo Fa	141302
494	641010.62	1586316.37	Tao Lao	141303
495	641897.19	1590114.89	Plai Klat	141304
496	636873.64	1575018.34	Thap Mongkhon	141305
497	639268.77	1578946.86	Wang Phtthana	141306
498	676680.66	1584459.39	Khan Ham	141401
499	680611.09	1583475.39	Ban Chang	141402
